app_id,game_name,game_type,is_free_to_play,release_year,avg_initial_price,min_initial_price,max_initial_price,price_volatility,avg_final_price,min_final_price,max_final_price,avg_discount,max_discount,discount_frequency,total_discount_days,total_observation_days,price_trend,seasonal_discount_pattern,best_discount_month,worst_discount_month,max_savings,avg_savings_when_discounted,good_buy_time
15320,IL-2 Sturmovik: 1946,game,0.0,2008.0,9.99,9.99,9.99,0.0,8.965659229208924,2.49,9.99,10.24340770791075,75,0.13995943204868155,69,493,0.0,135.26161798301877,12,2,7.5,7.318840579710145,0
15370,Heroes of Might & Magic V: Tribes of the East,game,0.0,2008.0,9.99,9.99,9.99,0.0,8.55997971602434,2.49,9.99,14.300202839756592,75,0.19066937119675456,94,493,0.0,121.48905083942321,12,4,7.5,7.5,1
15620,"Warhammer 40,000: Dawn of War II",game,0.0,2009.0,19.990000000000002,19.99,19.99,3.556315011381334e-15,18.168137651821866,4.99,19.99,9.109311740890687,75,0.1214574898785425,60,494,0.0,140.48157498502192,12,2,14.999999999999998,14.999999999999998,0
15700,Oddworld: Abe's Oddysee,game,0.0,2008.0,2.9900000000000007,2.99,2.99,4.445393764226668e-16,2.7358502024291504,0.74,2.99,8.47165991902834,75,0.11740890688259109,58,494,0.0,128.48850852059033,12,2,2.25,2.164655172413793,0
16450,F.E.A.R. 2: Project Origin,game,0.0,2009.0,14.990000000000002,14.99,14.99,1.778157505690667e-15,13.509736842105266,3.74,14.99,9.868421052631579,75,0.13157894736842105,65,494,0.0,132.98070783274997,12,2,11.25,11.25,0
16810,Sid Meier's Civilization IV: Colonization,game,0.0,2008.0,22.35842105263158,19.99,29.99,4.255755527325217,16.604655870445345,4.99,19.99,19.888663967611336,75,0.2651821862348178,131,494,-0.016744488876779606,240.0660602634819,10,2,22.5,21.69740458015267,1
17300,Crysis,game,0.0,2008.0,19.990000000000002,19.99,19.99,3.556315011381334e-15,17.743036437246968,4.99,19.99,11.234817813765183,75,0.14979757085020243,74,494,0.0,224.15614012786554,6,2,14.999999999999998,14.999999999999996,1
17390,Spore,game,0.0,2008.0,19.99,19.99,19.99,0.0,16.88655172413793,4.99,19.99,15.517241379310345,75,0.20689655172413793,102,493,0.0,192.97273010078487,12,2,14.999999999999998,14.999999999999998,1
17410,Mirror's Edge,game,0.0,2009.0,19.990000000000002,19.99,19.99,3.556315011381334e-15,17.014291497975712,1.99,19.99,14.878542510121457,90,0.18421052631578946,91,494,0.0,258.81820594423476,6,2,18.0,16.153846153846153,1
17430,Need for Speed: Undercover,game,0.0,2008.0,9.99,9.99,9.99,0.0,8.988983739837396,2.49,9.99,10.010162601626016,75,0.15040650406504066,74,492,0.0,180.810201763465,6,2,7.5,6.655405405405405,0
17440,Spore: Creepy & Cute Parts Pack,game,0.0,2008.0,19.99,19.99,19.99,0.0,17.286747967479673,4.99,19.99,13.516260162601625,75,0.18699186991869918,92,492,0.0,158.92037578553501,12,2,14.999999999999998,14.456521739130432,1
17450,Dragon Age: Origins,game,0.0,2009.0,19.990000000000002,19.99,19.99,3.556315011381334e-15,17.530485829959517,4.99,19.99,12.29757085020243,75,0.16396761133603238,81,494,0.0,226.73857871771827,6,2,14.999999999999998,14.999999999999996,1
17460,Mass Effect,game,0.0,2008.0,19.99,19.99,19.99,0.0,17.611951219512196,4.99,19.99,11.890243902439025,75,0.15853658536585366,78,492,0.0,196.28415357747863,12,2,14.999999999999998,14.999999999999996,1
17470,Dead Space,game,0.0,2009.0,19.99,19.99,19.99,0.0,17.92103448275862,4.99,19.99,10.344827586206897,75,0.13793103448275862,68,493,0.0,154.887908015657,12,2,14.999999999999998,14.999999999999998,1
17480,Command and Conquer: Red Alert 3,game,0.0,2009.0,19.99,19.99,19.99,0.0,18.231869918699186,4.99,19.99,8.790650406504065,75,0.13617886178861788,67,492,0.0,146.79220268429964,12,2,14.999999999999998,12.910447761194028,0
18500,Defense Grid: The Awakening,game,0.0,2008.0,9.99,9.99,9.99,0.0,9.669878048780488,2.49,9.99,3.201219512195122,75,0.042682926829268296,21,492,0.0,70.91044029924247,12,2,7.5,7.5,0
1900,Earth 2160,game,0.0,2006.0,4.990000000000001,4.99,4.99,8.890824183256808e-16,4.49508130081301,0.99,4.99,9.898373983739837,80,0.16666666666666666,82,492,0.0,57.13905347884731,12,4,4.0,2.9695121951219514,0
1930,Two Worlds: Epic Edition,game,0.0,2009.0,9.99,9.99,9.99,0.0,8.982886178861786,2.49,9.99,10.071138211382113,75,0.15853658536585366,78,492,0.0,66.10940100441367,12,4,7.5,6.352564102564102,1
19900,Far Cry 2,game,0.0,2008.0,9.989999999999998,9.99,9.99,1.778157505690667e-15,8.773400809716598,2.99,9.99,12.165991902834008,70,0.20040485829959515,99,494,0.0,105.22831673136515,12,4,7.0,6.070707070707071,1
20,Team Fortress Classic,game,0.0,1999.0,4.990000000000001,4.99,4.99,8.890787528453336e-16,4.749109311740892,0.49,4.99,4.817813765182186,90,0.05668016194331984,28,494,0.0,58.530405511935186,7,1,4.5,4.25,0
200170,Worms Revolution,game,0.0,2012.0,14.990000000000004,14.99,14.99,3.556322327449258e-15,12.444868154158216,2.99,14.99,16.967545638945232,80,0.2129817444219067,105,493,0.0,131.49142142250366,12,2,12.0,11.95,1
200260,Batman: Arkham City GOTY,game,0.0,2012.0,20.314543610547666,19.99,59.99,3.5920171831053835,17.850040567951318,4.99,19.99,11.105476673427992,75,0.14807302231237324,73,493,0.02891555682745144,125.80768159246894,12,2,45.0,16.643835616438356,1
200510,XCOM: Enemy Unknown,game,0.0,2012.0,29.99000000000001,29.99,29.99,1.066901114737199e-14,24.078594704684324,7.49,29.99,19.70468431771894,75,0.26272912423625255,129,491,0.0,181.75446311359474,11,9,22.5,22.5,1
200710,Torchlight II,game,0.0,2012.0,19.99,19.99,19.99,0.0,18.323333333333334,7.99,19.99,8.333333333333334,60,0.16463414634146342,81,492,0.0,49.631656322976,12,4,11.999999999999998,10.123456790123456,1
201310,X3: Albion Prelude,dlc,0.0,2011.0,9.99,9.99,9.99,0.0,9.344878048780487,2.99,9.99,6.451219512195122,70,0.13414634146341464,66,492,0.0,67.42381273577861,12,2,7.0,4.809090909090909,0
201790,Orcs Must Die! 2,game,0.0,2012.0,14.990000000000002,14.99,14.99,1.778157505690667e-15,13.575020242914983,2.99,14.99,9.433198380566802,80,0.12348178137651822,61,494,0.0,132.80747749978298,12,2,12.0,11.459016393442623,0
201810,Wolfenstein: The New Order,game,0.0,2014.0,20.071135902636914,19.99,29.99,0.8980042957763458,17.905212981744423,5.99,19.99,10.626774847870182,70,0.17038539553752535,84,493,-0.02637352985360948,123.75293796774741,12,2,14.999999999999998,12.711904761904758,1
201870,Assassin's Creed Revelations,game,0.0,2011.0,19.990000000000002,19.99,19.99,3.556315011381334e-15,17.75518218623482,7.99,19.99,11.17408906882591,60,0.1862348178137652,92,494,0.0,88.14989317122404,12,2,11.999999999999998,11.999999999999998,1
202200,Galactic Civilizations II: Ultimate Edition,game,0.0,2011.0,19.990000000000002,19.99,19.99,3.556315011381334e-15,17.884736842105266,9.99,19.99,10.526315789473685,50,0.21052631578947367,104,494,0.0,61.610955849964334,12,3,9.999999999999998,9.999999999999998,1
202970,Call of Duty: Black Ops II,game,0.0,2012.0,59.99,59.99,59.99,0.0,54.233902439024384,19.79,59.99,9.59349593495935,67,0.15040650406504066,74,492,0.0,101.84365201633,12,2,40.2,38.270270270270274,1
202990,Call of Duty: Black Ops II - Multiplayer,game,0.0,2012.0,59.99,59.99,59.99,0.0,54.30405295315683,19.79,59.99,9.476578411405296,67,0.14867617107942974,73,491,0.0,99.0712314791544,12,2,40.2,38.24383561643835,0
203140,Hitman: Absolution,game,0.0,2012.0,19.99,19.99,19.99,0.0,17.783103448275863,3.99,19.99,11.03448275862069,80,0.14198782961460446,70,493,0.0,132.83378673655218,12,2,15.999999999999998,15.54285714285714,1
203160,Tomb Raider,game,0.0,2013.0,19.422048681541582,14.99,19.99,1.588176352835727,16.35713995943205,2.99,19.99,16.703853955375255,100,0.19675456389452334,97,493,-0.5496033022723465,161.148562069089,12,4,17.0,15.577319587628866,1
203350,King's Bounty: Warriors of the North,game,0.0,2012.0,9.99,9.99,9.99,0.0,8.862210953346855,1.99,9.99,11.27789046653144,80,0.15010141987829614,74,493,0.0,109.2559298351146,12,2,8.0,7.513513513513513,0
203630,Warlock - Master of the Arcane,game,0.0,2012.0,24.990000000000006,24.99,24.99,7.112644654898516e-15,20.616267748478705,6.24,24.99,17.494929006085194,75,0.2332657200811359,115,493,0.0,93.6795948499142,12,8,18.75,18.75,1
